Code,Name,Symptoms,Treatments
335,Parkinson Disease,"Tremors, stiffness, slowness of movement","Medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation"
336,Gout,"Intense joint pain, swelling, redness","Medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes"
337,Otitis Media,"Ear pain, fever, fluid drainage from the ear","Antibiotics (if bacterial infection), pain relievers, observation (in some cases)"
338,Myelodysplastic Syndrome,"Fatigue, frequent infections, easy bruising or bleeding","Supportive care, blood transfusions, medications, bone marrow transplantation (in some cases)"
339,Fracture of the Shoulder,"Shoulder pain, swelling, limited range of motion","Immobilization (sling, brace), pain management, physical therapy, surgical intervention (in severe cases)"
340,Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","Treating underlying cause, supportive care, medications to manage complications, dialysis (in severe cases)"
341,Threatened Pregnancy,"Vaginal bleeding, abdominal cramps, pelvic pain","Bed rest, medications (progesterone), monitoring, avoiding activities that may stress the pregnancy"
342,Intracranial Abscess,"Headache, fever, neurological deficits","Antibiotics, surgical drainage or removal of the abscess, supportive care"
343,Gum Disease,"Swollen, red, tender gums, bleeding gums","Oral hygiene practices (brushing, flossing), professional dental cleanings, medications, surgical interventions"
344,Open Wound from Surgical Incision,"Redness, swelling, discharge from the wound","Wound care (cleaning, dressing changes), antibiotics (if infection is present), surgical interventions"
345,Gastrointestinal Hemorrhage,"Abdominal pain, vomiting blood, bloody or black stools","Blood transfusions, endoscopy, surgery (in severe cases), medications to stop bleeding"
346,Seborrheic Dermatitis,"Red, itchy, and oily patches of skin, dandruff, flaky scalp","Topical antifungal creams or ointments, medicated shampoos, corticosteroid creams"
347,Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat","Detoxification, counseling, behavioral therapies, support groups, medication-assisted treatment (if applicable)"
348,Torticollis,"Neck pain, stiffness, and abnormal head positioning","Physical therapy exercises, pain relievers, botulinum toxin injections (in severe cases)"
349,Antihypertensives Poisoning,"Dizziness, low blood pressure, slow heart rate, nausea, vomiting","Immediate medical attention, activated charcoal administration, supportive care, specific antidotes"
350,Tension Headache,"Mild to moderate head pain, tightness or pressure sensation on both sides of head","Over-the-counter pain relievers, relaxation techniques, stress management"

351,Injury to the Leg,"Pain, swelling, bruising, difficulty walking","R.I.C.E. (Rest, Ice, Compression, Elevation), pain medications, physical therapy"
352,Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors","Treating underlying liver disease, medications to manage symptoms, dietary modifications"
353,Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss","Surgery, chemotherapy, radiation therapy, targeted therapy"
354,Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver","Antiparasitic medications, treatment of complications, vector control measures (in endemic areas)"
355,Conversion Disorder,"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking","Psychotherapy (such as cognitive-behavioral therapy or psychodynamic therapy), physical therapy or rehabilitation (to improve physical function and reduce disability), addressing underlying stressors or psychological factors, supportive care and reassurance, potentially medications (such as antidepressants or anti-anxiety medications)"
356,Complex Regional Pain Syndrome,"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","Physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (TENS), patient education and self-management techniques"
357,Otosclerosis,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems","Hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments"
358,Hypothyroidism,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","Hormone replacement therapy with synthetic thyroid hormone (levothyroxine), regular monitoring of thyroid hormone levels and adjustment of medication dosage, lifestyle modifications (such as healthy diet and regular exercise), management of associated symptoms (such as cholesterol-lowering medications or antidepressants), education and support for long-term management"
359,Primary Insomnia,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating","Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)"
360,Lice,Itching and visible presence of lice or nits (eggs) in the hair,"Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies"
361,Vitamin B12 Deficiency,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","Vitamin B12 supplementation (such as oral supplements or injections), dietary changes to include B12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of B12 levels and treatment adjustment"
362,Vulvodynia,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","Topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (CBT), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)"
363,Endometriosis,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","Pain management (such as nonsteroidal anti-inflammatory drugs [NSAIDs], hormonal contraceptives, or progestins), hormone therapy (such as gonadotropin-releasing hormone [GnRH] agonists or oral contraceptives), surgical interventions (such as laparoscopic excision or hysterectomy), fertility treatments (if pregnancy is desired), lifestyle modifications (such as regular exercise, stress management), complementary therapies (such as acupuncture or dietary changes)"
364,Vasculitis,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Treatment depends on the type and severity of vasculitis. It may include corticosteroids, immunosuppressive medications (such as cyclophosphamide or azathioprine), biologic therapies (such as rituximab), disease-specific treatments (such as plasmapheresis for certain types), supportive care to manage symptoms (such as pain relievers or blood pressure medications), monitoring and management of associated complications (such as organ damage or infections)"
365,Concussion,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","Physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries"
366,Oral Leukoplakia,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","Regular monitoring and follow-up, identification and elimination of potential irritants (such as tobacco or alcohol), improving oral hygiene practices, medication (such as topical retinoids or antifungal agents), surgical removal (in some cases), cryotherapy (freezing the patches), laser therapy, lifestyle modifications (such as healthy diet), regular dental check-ups, education and support"
367,Chronic Kidney Disease,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","Management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ACE inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care"
